id,xp,avg_cycle_hours,avg_proj_comp,avg_proj_qual,health_culture,health_team_play,health_technical,est_accuracy,est_bias,no_proj_rvws,elo
396fad2d,192.93,34.2,88.53,88.99,100.0,100.0,91.67,95.83,-3.5,48,997
690c133a,183.05,34.5,92.21,90.21,91.67,91.67,70.83,98.19,1.08,41,952
dcf14075,703.91,27.6,89.66,88.47,86.34,87.5,98.84,89.06,-5.32,38,1246
f7ba1065,127.54,31.11,83.01,85.51,75.0,50.0,66.67,96.83,1.9,41,981
85eb0e18,195.53,32.55,87.58,88.93,100.0,100.0,91.67,95.5,-0.33,45,1023
45664623,223.07,34.4,92.23,89.74,87.5,87.5,83.33,96.42,0.42,37,1013
89ffaeb3,94.15,35.14,78.75,81.42,MISSING DATA,MISSING DATA,MISSING DATA,91.5,8.5,28,973
75dbe257,839.22,33.9,91.94,90.88,93.06,93.06,95.49,92.05,-0.88,47,1247
45a99283,215.43,36.4,92.0,92.45,95.84,95.84,87.5,95.3,1.5,43,981
936e3168,227.7,34.4,90.57,91.4,100.0,100.0,87.5,97.14,-0.7,54,1022
cbcff678,161.21,31.6,87.85,87.52,91.67,88.89,66.66,95.06,-4.06,44,988
b6aa9c94,194.87,34.0,86.01,88.93,100.0,100.0,91.67,96.58,-0.58,45,1009
4a6f36f6,212.02,34.4,85.88,87.66,87.5,86.11,83.33,95.53,-1.7,40,996
adda47cf,167.23,34.6,87.35,86.55,88.89,90.28,75.0,94.7,3.86,32,976
29f423c4,222.19,34.3,93.22,92.81,95.84,95.84,95.84,95.25,3.92,52,1006
070b3063,273.9,44.6,78.97,82.33,MISSING DATA,MISSING DATA,MISSING DATA,94.0,-5.0,28,1191
90945a45,196.35,32.8,90.19,87.69,84.72,83.34,76.39,93.67,-5.33,39,1001
9ae522cc,217.28,33.0,91.72,89.65,95.84,91.67,83.34,97.72,-1.61,33,1017
a4b6116a,22.78,40.0,89.28,90.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,8,1001
4d87f1c5,155.12,33.8,85.01,85.5,91.67,87.5,70.83,95.31,2.31,39,972
