id,xp,avg_cycle_hours,avg_proj_comp,avg_proj_qual,lrn_supp,cult_cont,team_play,est_accuracy,est_bias,no_proj_rvws,elo
396fad2d,68.6,37.75,78.22,83.69,82.29,87.15,MISSING DATA,97.25,2.0,22,1001
690c133a,58.28,37.5,84.09,83.9,69.79,77.08,MISSING DATA,93.13,6.38,22,959
dcf14075,316.69,33.5,80.46,83.44,96.57,91.19,MISSING DATA,84.83,6.7,24,1270
f7ba1065,49.17,37.25,80.51,82.64,77.08,80.21,MISSING DATA,95.5,0.25,21,959
85eb0e18,65.36,35.5,75.44,82.36,82.64,91.67,MISSING DATA,93.4,2.52,23,1015
89ffaeb3,49.47,40.25,73.85,76.74,72.92,70.83,MISSING DATA,90.75,-6.75,20,952
75dbe257,296.08,38.0,90.55,86.92,95.92,96.11,MISSING DATA,92.78,7.0,29,1256
45a99283,103.62,41.25,85.62,87.19,81.94,88.2,MISSING DATA,96.5,-0.83,23,1025
29f423c4,105.15,40.0,87.08,87.74,87.5,97.57,MISSING DATA,95.83,1.33,22,1037
936e3168,87.53,38.75,82.75,85.24,83.33,91.67,MISSING DATA,93.31,6.69,22,1014
cbcff678,53.24,36.25,82.94,83.29,71.88,92.71,MISSING DATA,90.5,-1.75,22,964
b6aa9c94,72.34,36.25,75.94,82.7,73.96,76.04,MISSING DATA,90.44,-2.81,25,1031
070b3063,223.39,42.25,76.53,80.99,81.67,77.15,MISSING DATA,88.67,4.19,26,1240
4a6f36f6,92.64,38.5,80.29,84.84,86.81,100.0,MISSING DATA,97.0,3.0,22,1010
adda47cf,57.46,38.75,81.33,81.41,62.5,68.75,MISSING DATA,93.25,5.0,20,971
9ae522cc,76.02,36.25,83.15,84.59,81.25,91.67,MISSING DATA,97.5,-0.75,20,1021
a4b6116a,22.78,40.0,89.28,90.0,83.33,83.33,MISSING DATA,MISSING DATA,MISSING DATA,8,1001
45664623,82.01,37.25,84.96,85.81,79.16,93.75,MISSING DATA,88.33,-3.0,20,1008
90945a45,84.83,37.5,87.15,85.99,81.25,90.97,MISSING DATA,98.63,0.13,22,1024
4d87f1c5,51.27,34.25,75.27,79.06,70.83,84.03,MISSING DATA,98.38,-0.88,22,1004
