id,xp,avg_cycle_hours,avg_proj_comp,avg_proj_qual,lrn_supp,cult_cont,team_play,health_culture,health_team_play,health_technical,est_accuracy,est_bias,no_proj_rvws,elo
396fad2d,149.89,34.63,85.91,87.44,81.48,89.35,92.36,MISSING DATA,MISSING DATA,MISSING DATA,96.17,-3.83,39,1000
690c133a,137.88,35.0,91.73,89.84,64.82,81.02,86.11,MISSING DATA,MISSING DATA,MISSING DATA,96.53,2.75,33,951
dcf14075,589.21,28.63,87.77,86.65,97.95,91.68,92.25,MISSING DATA,MISSING DATA,MISSING DATA,87.15,-4.13,37,1266
f7ba1065,111.1,31.75,82.24,85.3,63.42,77.32,63.19,MISSING DATA,MISSING DATA,MISSING DATA,97.44,1.5,35,982
85eb0e18,152.03,33.19,86.58,87.95,84.26,98.61,91.67,MISSING DATA,MISSING DATA,MISSING DATA,94.97,-1.36,36,1018
89ffaeb3,94.15,35.14,78.75,81.42,59.45,65.56,55.55,MISSING DATA,MISSING DATA,MISSING DATA,93.7,5.9,28,973
75dbe257,712.33,38.13,92.4,90.74,97.16,95.29,95.05,MISSING DATA,MISSING DATA,MISSING DATA,92.01,2.71,43,1242
45a99283,171.95,36.63,90.39,91.31,81.02,90.74,91.67,MISSING DATA,MISSING DATA,MISSING DATA,94.9,2.7,33,982
936e3168,185.31,36.25,90.22,90.64,77.78,93.52,97.22,MISSING DATA,MISSING DATA,MISSING DATA,94.97,1.47,41,1007
cbcff678,134.17,32.88,91.07,88.03,74.08,96.3,100.0,MISSING DATA,MISSING DATA,MISSING DATA,96.61,-1.5,37,988
29f423c4,181.24,35.5,92.51,92.1,87.5,85.18,81.25,MISSING DATA,MISSING DATA,MISSING DATA,94.89,3.39,41,1015
b6aa9c94,148.17,34.38,82.73,87.13,80.55,91.67,91.67,MISSING DATA,MISSING DATA,MISSING DATA,95.58,0.25,37,1018
070b3063,273.9,44.6,78.97,82.33,92.14,86.19,70.83,MISSING DATA,MISSING DATA,MISSING DATA,91.6,5.26,28,1191
4a6f36f6,179.02,35.38,87.51,87.15,85.65,98.61,96.53,MISSING DATA,MISSING DATA,MISSING DATA,96.45,-0.95,32,1006
adda47cf,131.58,33.88,88.7,86.8,58.33,78.7,68.75,MISSING DATA,MISSING DATA,MISSING DATA,93.42,6.58,29,981
90945a45,157.67,33.5,88.81,87.2,75.46,83.8,72.92,MISSING DATA,MISSING DATA,MISSING DATA,95.58,-2.42,33,1006
45664623,169.77,34.88,90.89,88.37,74.07,84.26,81.95,MISSING DATA,MISSING DATA,MISSING DATA,93.4,-4.4,29,1006
9ae522cc,165.42,33.5,90.54,88.32,75.93,93.06,93.06,MISSING DATA,MISSING DATA,MISSING DATA,98.72,-0.61,27,1018
a4b6116a,22.78,40.0,89.28,90.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,8,1001
4d87f1c5,121.73,35.38,82.37,83.03,68.06,83.33,78.47,MISSING DATA,MISSING DATA,MISSING DATA,97.08,1.58,31,975
