cycle,id,xp,avg_cycle_hours,avg_proj_comp,avg_proj_qual,health_culture,health_team_play,health_technical,challenge,est_accuracy,est_bias,no_proj_rvws,elo
6,396fad2d,152.7,35.83,84.95,86.38,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,96.97,0.14,29,1011
6,690c133a,119.09,35.0,89.19,87.71,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,94.86,4.58,28,963
6,dcf14075,660.17,31.5,85.93,86.14,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,85.8,1.0,32,0
6,f7ba1065,122.4,34.0,81.32,84.96,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,95.81,0.53,29,983
6,85eb0e18,148.31,33.42,83.04,86.21,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,94.51,1.1,30,1020
6,89ffaeb3,125.37,36.83,76.88,81.03,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,92.92,-3.58,25,975
6,75dbe257,584.43,36.67,92.48,90.08,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,91.58,8.29,41,0
6,45a99283,173.5,40.5,90.07,90.12,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,95.3,2.1,29,1000
6,936e3168,179.87,37.17,88.12,88.74,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,93.76,2.68,29,1015
6,cbcff678,120.24,33.83,88.42,87.5,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,92.89,-1.05,30,971
6,29f423c4,170.88,36.0,91.18,90.6,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,95.47,1.81,28,1012
6,b6aa9c94,159.39,35.5,83.38,86.44,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,92.71,-1.63,30,1013
6,070b3063,415.74,44.6,78.97,82.33,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,89.85,2.15,28,0
6,4a6f36f6,178.81,36.67,84.43,85.65,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,95.5,0.83,28,1006
6,adda47cf,116.84,33.67,85.45,84.72,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,95.0,3.83,24,978
6,9ae522cc,163.49,34.33,88.56,88.2,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,98.06,-0.45,23,1008
6,a4b6116a,28.35,40.0,89.28,90.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,8,1000
6,90945a45,164.0,35.0,89.42,86.86,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,96.92,-1.42,27,1006
6,4d87f1c5,131.37,34.5,77.88,81.4,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,98.08,0.25,26,969
6,45664623,162.62,35.33,89.9,89.09,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,91.9,-2.9,25,1003
