cycle,id,xp,avg_cycle_hours,time_on_task,avg_proj_comp,avg_proj_qual,health_culture,health_team_play,health_technical,challenge,est_accuracy,est_bias,no_proj_rvws,elo
8,396fad2d,199.54,34.63,0.82,85.91,87.44,MISSING DATA,MISSING DATA,MISSING DATA,8.0,96.17,-3.83,39,1013
8,690c133a,164.93,35.0,0.83,91.73,89.84,MISSING DATA,MISSING DATA,MISSING DATA,8.0,96.53,2.75,33,959
8,dcf14075,791.29,28.63,0.62,87.77,86.65,MISSING DATA,MISSING DATA,MISSING DATA,2.5,87.15,-4.13,37,0
8,f7ba1065,154.38,31.75,0.73,82.24,85.3,MISSING DATA,MISSING DATA,MISSING DATA,7.0,97.44,1.5,35,980
8,85eb0e18,201.37,33.19,0.77,86.58,87.95,MISSING DATA,MISSING DATA,MISSING DATA,7.0,94.97,-1.36,36,1020
8,89ffaeb3,134.37,35.14,0.86,78.75,81.42,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,91.67,1.83,28,975
8,75dbe257,860.99,38.13,0.89,92.4,90.74,MISSING DATA,MISSING DATA,MISSING DATA,4.0,92.01,2.71,43,0
8,45a99283,203.25,36.63,0.87,90.39,91.31,MISSING DATA,MISSING DATA,MISSING DATA,7.0,94.9,2.7,33,991
8,936e3168,226.48,36.25,0.88,90.22,90.64,MISSING DATA,MISSING DATA,MISSING DATA,7.0,94.97,1.47,41,1011
8,cbcff678,164.69,32.88,0.76,91.07,88.03,MISSING DATA,MISSING DATA,MISSING DATA,6.0,96.61,-1.5,37,972
8,29f423c4,223.73,35.5,0.84,92.51,92.1,MISSING DATA,MISSING DATA,MISSING DATA,6.0,94.89,3.39,41,1014
8,b6aa9c94,202.96,34.38,0.81,82.73,87.13,MISSING DATA,MISSING DATA,MISSING DATA,10.0,95.58,0.25,37,1017
8,070b3063,415.74,44.6,0.94,78.97,82.33,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,89.85,2.15,28,0
8,4a6f36f6,229.23,35.38,0.85,87.51,87.15,MISSING DATA,MISSING DATA,MISSING DATA,6.0,96.45,-0.95,32,1007
8,adda47cf,166.08,33.88,0.8,88.7,86.8,MISSING DATA,MISSING DATA,MISSING DATA,7.0,93.42,6.58,29,973
8,90945a45,204.52,33.5,0.78,88.81,87.2,MISSING DATA,MISSING DATA,MISSING DATA,8.0,95.58,-2.42,33,1005
8,45664623,214.54,34.88,0.83,90.89,88.37,MISSING DATA,MISSING DATA,MISSING DATA,6.0,93.4,-4.4,29,1007
8,9ae522cc,210.35,33.5,0.79,90.54,88.32,MISSING DATA,MISSING DATA,MISSING DATA,7.0,98.72,-0.61,27,1006
8,a4b6116a,28.35,40.0,1.0,89.28,90.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,8,1000
8,4d87f1c5,179.77,35.38,0.91,82.37,83.03,MISSING DATA,MISSING DATA,MISSING DATA,7.0,97.08,1.58,31,965
