cycle_no,project,id,xp,proj_hours,proj_comp,proj_qual,lrn_supp,cult_cont,team_play,health_culture,health_team_play,health_technical,challenge,project_contrib,expected_contrib,contrib_gap,est_accuracy,est_bias
2,absorbing-hedgehog,396fad2d,30.62,40.0,60.22,75.22,79.17,95.83,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,17.6,22.99,-5.39,94.5,5.5
2,absorbing-hedgehog,690c133a,18.79,40.0,60.22,75.22,54.17,75.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,10.8,22.99,-12.19,99.0,-1.0
2,absorbing-hedgehog,dcf14075,76.56,14.0,60.22,75.22,95.0,86.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,44.0,8.05,35.95,98.75,1.25
2,absorbing-hedgehog,f7ba1065,17.75,40.0,60.22,75.22,66.67,62.5,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,10.2,22.99,-12.79,96.5,3.5
2,absorbing-hedgehog,85eb0e18,30.28,40.0,60.22,75.22,58.33,66.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,17.4,22.99,-5.59,96.75,3.25
16,abundant-eland,94b1cd36,31.39,35.5,93.82,95.0,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,83.33,7.0,46.5,52.59,-6.09,97.0,3.0
16,abundant-eland,9ae522cc,36.11,32.0,93.82,95.0,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,83.33,6.0,53.5,47.41,6.09,97.0,3.0
14,acoustic-jaguarundi,eb678107,29.5,35.0,99.94,98.78,MISSING DATA,MISSING DATA,MISSING DATA,83.33,83.33,83.33,7.0,50.0,59.32,-9.32,100.0,0.0
14,acoustic-jaguarundi,e76412aa,29.5,24.0,99.94,98.78,MISSING DATA,MISSING DATA,MISSING DATA,83.33,83.33,83.33,6.0,50.0,40.68,9.32,100.0,0.0
16,acrid-zorro,cbcff678,24.26,32.0,91.82,92.73,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,83.33,8.0,33.0,43.54,-10.54,97.0,3.0
16,acrid-zorro,936e3168,27.93,33.5,91.82,92.73,MISSING DATA,MISSING DATA,MISSING DATA,91.67,91.67,100.0,7.0,38.0,45.58,-7.58,83.5,16.5
16,acrid-zorro,75dbe257,21.32,8.0,91.82,92.73,MISSING DATA,MISSING DATA,MISSING DATA,94.44,97.22,100.0,4.0,29.0,10.88,18.12,98.5,1.5
19,adorable-bettong,0af92c55,34.15,30.0,100.0,99.89,MISSING DATA,MISSING DATA,MISSING DATA,83.33,83.33,75.0,7.0,34.67,30.46,4.21,96.5,3.5,7,7
19,adorable-bettong,110df682,34.8,33.5,100.0,99.89,MISSING DATA,MISSING DATA,MISSING DATA,75.0,75.0,83.33,7.0,35.33,34.01,1.32,98.0,-2.0,7,7
19,adorable-bettong,ea4646be,29.55,35.0,100.0,99.89,MISSING DATA,MISSING DATA,MISSING DATA,75.0,83.33,41.67,6.0,30.0,35.53,-5.53,95.5,4.5,5,5
16,adventurous-heron,b7faca92,20.69,24.0,91.6,99.0,MISSING DATA,MISSING DATA,MISSING DATA,50.0,41.67,75.0,7.0,32.33,37.5,-5.17,88.5,11.5
16,adventurous-heron,dcf14075,15.36,4.0,91.6,99.0,MISSING DATA,MISSING DATA,MISSING DATA,93.33,97.22,97.22,4.0,24.0,6.25,17.75,86.5,13.5
16,adventurous-heron,4d87f1c5,27.95,36.0,91.6,99.0,MISSING DATA,MISSING DATA,MISSING DATA,83.33,91.67,83.33,7.0,43.67,56.25,-12.58,96.0,-4.0
13,alive-puffin,110df682,25.4,37.0,99.29,94.64,MISSING DATA,MISSING DATA,MISSING DATA,87.5,87.5,70.83,7.0,17.4,25.34,-7.94,96.75,3.25
13,alive-puffin,53bcb2df,23.36,34.0,99.29,94.64,MISSING DATA,MISSING DATA,MISSING DATA,50.0,45.83,50.0,7.0,16.0,23.29,-7.29,96.25,3.75
